Heure,Production_Elec
0,75.4012322960078
1,135.06386604121147
2,189.9805240487133
3,186.5559627059239
4,174.27417021230855
5,142.50825098865295
6,104.69467066374061
7,71.73822691635965
8,45.369126112183366
9,20.488180962663815
10,3.8136242821927437
11,4.166835833038854
12,4.762098094901548
13,5.0597292258328945
14,5.952622618626934
15,7.4407782732836685
16,8.631302797009056
17,7.738409404215014
18,5.0597292258328945
19,2.381049047450774
20,1.190524523725387
21,0.8928933927940401
22,20.079388991902942
23,67.68255192315031
24,128.10718918996096
25,171.6349480966415
26,219.6666320300073
27,238.0158146562369
28,224.76581931855523
29,186.3928281203374
30,125.89288140225447
31,133.15079605859415
32,102.09129993663079
33,41.05167137659993
34,4.837407546173841
35,2.083417916519427
36,2.381049047450774
37,4.762098094901548
38,8.631302797009056
39,13.988663153773295
40,19.643654641468885
41,26.489170652889857
42,33.63231779524218
43,36.01336684269295
44,33.03705553337949
45,30.65600648592871
46,55.35408801850427
47,125.13978688953154
48,210.03297066094302
49,267.4579609129249
50,313.5299034526426
51,393.6735048121944
52,468.2140884298076
53,490.7228935407605
54,460.6082645573481
55,385.9098486888746
56,280.453174503527
57,161.32159065253717
58,91.1504355162644
59,88.39644588660997
60,92.86091285058018
61,103.87326469503999
62,112.80219862298041
63,115.77850993229387
64,117.56429671788196
65,123.81455046744023
66,130.0648042169985
67,132.44585326444928
68,120.24297689626408
69,110.12351844459829
70,121.05886517721743
71,206.31247384779067
72,317.3129786810043
73,340.2055443966343
74,377.1262313287526
75,401.5589264447962
76,411.62641115070505
77,387.71366884525185
78,360.15404351735015
79,291.8959583636947
80,198.74080570331995
81,101.71644834083772
82,64.66126486337453
83,75.59830725656207
84,71.72910255445456
85,63.0977997574455
86,53.87123469857375
87,47.620980949015475
88,46.43045642529009
89,48.81150547274086
90,55.061759222299145
91,62.50253749558281
92,69.94331576886647
93,69.34805350700378
94,67.66091187820335
95,81.34664156631908
96,154.96569375089663
97,281.99351925696175
98,344.33483318054755
99,393.88691748296947
100,431.24864110024805
101,418.51859857315674
102,362.35944229617263
103,285.5417571226225
104,208.56984637237008
105,130.27291455304731
106,106.08757248274648
107,111.31404296832368
108,98.51590433827577
109,80.36040535146361
110,66.07411106675897
111,63.693062019308194
112,67.85989785234706
113,77.38409404215015
114,96.43248642175634
115,113.69509201577445
116,122.32639481278349
117,136.61268909748816
118,150.12446417754393
119,150.4257019826331
120,172.14386553173736
121,263.2675740213496
122,397.52276512992336
123,441.07555540268766
124,441.77476515606423
125,408.2625172095356
126,392.8807368837354
127,398.7455343680482
128,335.7892291512422
129,224.51082221845468
130,146.56540628940965
131,133.93400891910602
132,129.17191082420447
133,131.8505910025866
134,137.5055824902822
135,143.4582051089091
136,140.48189379959564
137,131.8505910025866
138,122.62402594371484
139,118.457190110676
140,113.3974608848431
141,106.25431374249078
142,115.13848727298989
143,147.69335239792565
144,231.71867414262687
145,288.0768163937547
146,327.2637848593364
147,346.74430491521883
148,340.30036752624306
149,303.9516071504721
150,260.891827308625
151,210.99013812951486
152,164.86622184404015
153,135.671428633095
154,113.69509201577445
155,107.7424693971475
156,107.7424693971475
157,112.50456749204906
158,116.96903445601926
159,119.64771463440138
160,119.35008350347005
161,117.86192784881331
162,119.64771463440138
163,118.15955897974466
164,114.58798540856849
165,106.84957600435347
166,116.30928276535775
167,185.85293092536847
168,317.4133194983604
169,433.1203420065609
170,504.847748900447
171,551.8645585787158
172,564.2341762066453
173,554.2383942778508
174,525.5043667834235
175,457.50445469798433
176,361.2384941829512
177,241.8648596209448
178,166.02259063977672
179,140.1842626686643
180,130.6600664788612
181,130.36243534792987
182,132.74348439538065
183,138.69610701400757
184,149.41082772753606
185,161.0184418338586
186,155.66108147709434
187,143.4582051089091
188,147.0297786800853
189,140.779524930527
190,159.44967439320334
191,234.4295990354084
192,352.8942178474211
193,445.8306555022946
194,499.9261228941168
195,521.9185818686371
196,503.4904831169773
197,481.9749122161746
198,421.56639730656366
199,328.91146842542173
200,237.4148193536059
201,157.23536660549684
202,117.56429671788196
203,108.63536278994155
204,102.08747790945193
205,98.21827320734442
206,94.64669963616826
207,88.99170814847267
208,87.50355249381593
209,86.0153968391592
210,86.6106591010219
211,85.12250344636516
212,80.06277422053228
213,73.51488934004264
214,84.2243077188449
215,155.65599449538917
216,261.54118968285513
217,361.2711696033927
218,412.9694655905645
219,434.5011588485669
220,429.96138243332445
221,395.3858931600997
222,296.8303154060878
223,148.62400819286637
224,80.1238723281943
225,39.20309082278142
226,17.262605594018112
227,17.560236724949455
228,19.346023510537538
229,22.61996595078235
230,28.274957438477937
231,35.7157357117616
232,41.965989461319886
233,47.32334981808413
234,51.49018565112298
235,57.14517713881857
236,63.693062019308194
237,67.85989785234706
238,85.93478505316068
239,148.30664803057746
240,254.32273308923055
241,330.0090808331278
242,383.0485202465696
243,414.369796110907
244,418.4093487469167
245,394.3298651817192
246,344.1591829119192
247,271.1712443777616
248,177.8421371093269
249,84.47357177817713
250,58.33570166254396
251,87.50355249381593
252,112.80219862298041
253,127.98138630047909
254,126.49323064582235
255,115.18324767043119
256,105.65905148062808
257,100.30169112386385
258,96.13485529082499
259,90.4798638031294
260,86.0153968391592
261,86.90829023195323
262,104.96344840140935
263,179.91473500337284
264,285.52563476542286
265,380.9309466020612
266,430.39520577016907
267,451.0698570239347
268,433.20477581973824
269,365.28017318557136
270,227.81552906555157
271,153.88272339284296
272,144.33519149752448
273,84.14899826757261
274,54.1688658295051
275,50.2996611273976
276,37.20389136641834
277,25.596277260095814
278,26.19153952195851
279,48.51387434180952
280,66.37174219769032
281,74.70541386376803
282,94.64669963616826
283,98.51590433827577
284,96.13485529082499
285,95.24196189803095
286,95.20611050947372
287,105.76130331157357
288,108.03840486751048
289,121.06607852553307
290,144.81568624539983
291,239.13272538925835
292,232.80355551427
293,178.2401090576143
294,130.77144267171178
295,104.7394310611819
296,71.74352925108587
297,62.637034040927695
298,67.85989785234706
299,78.57461856587554
300,82.1461921370517
301,78.57461856587554
302,75.59830725656207
303,74.70541386376803
304,67.56226672141571
305,53.57360356764241
306,35.7157357117616
307,21.131810296125614
308,13.095769760979255
309,21.131810296125614
310,46.846461744366614
311,101.59998516628197
312,193.14330564912856
313,265.0124224366753
314,295.0284062633
315,282.5404144472253
316,230.60006774903698
317,182.4930743643989
318,134.46139043103312
319,100.94553581034668
320,67.96936303160818
321,45.58062776936893
322,40.180202675731806
323,47.02571868715278
324,48.81150547274086
325,49.10913660367221
326,48.21624321087817
327,45.537563032496045
328,41.07309606852585
329,36.60862910455565
330,35.12047344989891
331,35.41810458083026
332,33.92994892617353
333,33.03705553337949
334,55.350481344346434
335,133.36590438993755
336,242.43721688333423
337,332.1714148750774
338,384.94546787198715
339,425.13649057019245
340,457.69665802985446
341,454.4710826612087
342,418.5866946761134
343,349.50381223262053
344,259.2065966934141
345,153.48453609153452
346,97.92064207641307
347,86.6106591010219
348,77.38409404215015
349,71.72910255445456
350,66.96700445955301
351,64.88358654303359
352,67.56226672141571
353,71.72910255445456
354,79.76514308960093
355,89.8846015412667
356,94.05143737430556
357,100.30169112386385
358,117.27387893526625
359,206.2263443740449
360,343.16742900931644
361,428.3296058714177
362,476.02780728529495
363,506.6587824051399
364,516.8374279508782
365,506.13522292039164
366,468.1118365988621
367,399.9774279680781
368,297.9578308085617
369,174.63607541901766
370,104.46852695690269
371,92.56328171964883
372,79.16988082773823
373,65.47884880489627
374,53.57360356764241
375,44.34703850877066
376,38.98967815200642
377,38.09678475921238
378,40.775464937594506
379,44.04940737783931
380,48.51387434180952
381,53.27597243671106
382,77.65669380699775
383,163.83013825003823
384,278.3341205514714
385,358.4885419334967
386,410.69066837405916
387,437.2103880807801
388,438.3453321845907
389,417.1471214460768
390,372.1831806304965
391,300.1042578463326
392,203.2555507524787
393,103.01813370439262
394,85.12250344636516
395,94.9443307670996
396,83.33671666077709
397,69.94331576886647
398,58.633332793475304
399,47.32334981808413
400,35.41810458083026
401,23.810490474507738
402,15.179187677498682
403,11.607614106322522
404,10.119458451665789
405,8.631302797009056
406,33.77402768890271
407,140.83723171705222
408,249.9838536617212
409,334.17422100559827
410,390.89639483004567
411,419.61069329311556
412,423.6663682863249
413,401.6308445749317
414,354.6390662627468
415,284.34593026417093
416,196.01736512749656
417,109.84392068445607
418,102.38510904038326
419,111.90930523018636
420,103.57563356410866
421,92.56328171964883
422,81.84856100612035
423,69.94331576886647
424,56.549914876955874
425,41.965989461319886
426,29.16785083127198
427,20.536548034262925
428,16.07208107029272
429,14.58392541563599
430,38.92518872320761
431,135.45653565477264
432,246.72242690451824
433,336.4368958649038
434,394.1075435020601
435,425.09173017275117
436,428.496562484183
437,406.5363482240622
438,359.1357779411163
439,284.6202256895869
440,180.6086424220232
441,81.49004712054801
442,71.13384029259186
443,86.0153968391592
444,87.50355249381593
445,86.90829023195323
446,85.12250344636516
447,79.76514308960093
448,69.64568463793513
449,55.061759222299145
450,38.692047021075076
451,27.382064045683897
452,23.215228212645044
453,23.810490474507738
454,45.63981486344153
455,137.0558521492589
456,246.83358774434777
457,339.1514274318432
458,391.23878635841834
459,410.0523413753235
460,402.29059626559325
461,377.18372276225676
462,315.9737462683238
463,205.2242011550108
464,127.31993894924918
465,85.35203847433986
466,87.50355249381593
467,93.75380624337421
468,91.37275719592344
469,90.77749493406074
470,88.09881475567862
471,84.52724118450246
472,81.55092987518901
473,77.38409404215015
474,73.51488934004264
475,69.05042237607245
476,65.18121767396494
477,61.60964410278877
478,71.40283338328163
479,147.82615328270214
480,259.05619314389054
481,352.65959583774116
482,408.7865074003259
483,435.36180752696157
484,434.65538442526935
485,407.2069199371972
486,352.77436335172854
487,272.00855735064084
488,167.84996185469032
489,66.75910947652528
490,42.85888285411392
491,55.95465261509318
492,66.07411106675897
493,72.91962707817994
494,75.59830725656207
495,75.00304499469938
496,71.13384029259186
497,63.693062019308194
498,55.65702148416184
499,48.51387434180952
500,42.85888285411392
501,37.50152249734969
502,51.75917874181275
503,137.8178556708659
504,240.06338118419907
505,319.4163409819023
506,374.16625772965983
507,401.15034982705635
508,385.74162712158295
509,320.1424931149521
510,229.1783125367685
511,143.07126853611626
512,82.62690223794807
513,22.1825359397799
514,0.8928933927940401
515,0.8928933927940401
516,1.190524523725387
517,1.4881556546567336
518,1.4881556546567336
519,1.4881556546567336
520,1.7857867855880802
521,2.083417916519427
522,2.976311309313467
523,4.166835833038854
524,8.333671666077707
525,12.500507499116562
526,12.444927079201799
527,18.88525779401973
528,35.468382666018805
529,60.96431910875858
530,81.69455078243897
531,99.76222463493696
532,99.83392741205142
533,95.47701461375291
534,108.87402217982134
535,105.69151154804852
536,63.39373522780846
537,28.278564112635767
538,27.08443291475255
539,36.310997973624296
540,41.07309606852585
541,41.3707271994572
542,41.3707271994572
543,43.15651398504527
544,48.21624321087817
545,63.0977997574455
546,80.36040535146361
547,91.67038832685479
548,99.40879773106981
549,101.1945845166579
550,108.23017749333852
551,154.78091912036322
552,218.91523317785277
553,320.6388948670061
554,371.8692117893444
555,385.6427666117743
556,382.8726546249202
557,354.4757163241392
558,317.94409233142426
559,267.9562736785683
560,191.00409195967336
561,109.96399053316965
562,95.24196189803095
563,95.5395930289623
564,90.18223267219805
565,85.12250344636516
566,86.90829023195323
567,87.80118362474728
568,87.20592136288458
569,88.39644588660997
570,93.75380624337421
571,98.51590433827577
572,102.08747790945193
573,104.46852695690269
574,100.04351805564757
575,128.9748358636502
576,220.8677612231851
577,343.5906476767086
578,413.60227490155273
579,418.4271667646848
580,408.2879792816614
581,345.98612342079076
582,277.16862739382975
583,192.21264985418784
584,124.41533041705019
585,78.13358188071525
586,73.51488934004264
587,71.4314714235232
588,64.58595541210224
589,62.50253749558281
590,61.60964410278877
591,59.228595055338
592,58.33570166254396
593,60.71675070999473
594,63.0977997574455
595,67.56226672141571
596,79.16988082773823
597,94.64669963616826
598,122.57205219795792
599,205.99320267191237
600,349.22208810586784
601,419.40215225102475
602,377.7121538756892
603,318.334635578375
604,339.1276610202858
605,382.2268989248479
606,376.98069940791316
607,370.43281452742355
608,251.6347131959223
609,178.2488027134773
610,161.0184418338586
611,151.79187677498683
612,152.68477016778087
613,158.04213052454512
614,154.1729258224376
615,152.68477016778087
616,148.22030320381066
617,141.67241832332104
618,139.5890004068016
619,136.01742683562546
620,129.76717308606717
621,129.76717308606717
622,129.191639855562
623,134.68710343182894
624,195.1995658329538
625,263.1294708018469
626,316.4557213237465
627,299.5749653208161
628,335.6386102486976
629,285.26533533059603
630,195.54556403548423
631,115.36080895264894
632,66.6729800027795
633,57.6848589807665
634,69.94331576886647
635,94.34906850523691
636,128.87427969327314
637,169.94737576179895
638,202.98443129517847
639,186.6147190939544
640,160.4231795719959
641,131.55295987165525
642,108.9329939208729
643,73.81252047097398
644,59.52622618626935
645,58.633332793475304
646,54.950598382469614
647,66.00962163796015
648,92.19225215103462
649,124.70044586493967
650,166.6414039601758
651,203.68937408932334
652,227.07855691002834
653,257.8726666154597
654,273.6112651662639
655,257.155423491294
656,168.9846906054799
657,107.33728410054447
658,99.40879773106981
659,97.02774868361904
660,96.73011755268769
661,100.0040599929325
662,102.38510904038326
663,101.1945845166579
664,96.73011755268769
665,86.6106591010219
666,83.63434779170844
667,84.22961005357111
668,86.90829023195323
669,95.5395930289623
670,103.74598149801078
671,162.34007158179207
672,264.5300166752105
673,332.47434834073493
674,295.7078869853191
675,188.03690501226492
676,146.5047388877897
677,154.17505218904807
678,148.31386137889314
679,119.09573246243261
680,86.56420304301223
681,42.06463461810754
682,53.57360356764241
683,76.4912006493561
684,79.46751195866958
685,69.34805350700378
686,55.061759222299145
687,37.50152249734969
688,25.001014998233124
689,18.453130117743495
690,18.155498986812148
691,18.750761248674845
692,17.262605594018112
693,15.476818808430028
694,20.70689596816504
695,103.22263736628359
696,226.3059487189689
697,322.4374126886571
698,345.80325980384674
699,304.0504676602808
700,217.98818405706984
701,216.19157724900828
702,244.72831442986035
703,251.8320035094976
704,166.402744570296
705,151.0854536732946
706,174.41184272576916
707,197.62707093841422
708,216.37783218708907
709,233.64043778110718
710,242.2717405781162
711,239.59306039973413
712,230.068864209931
713,203.57969355704117
714,165.18527766689743
715,144.35109850170315
716,142.8629428470464
717,136.01742683562546
718,136.94977829113455
719,184.6515863791696
720,282.53298574588865
721,433.85900982265247
722,514.2124171788214
723,548.0617543189965
724,550.0698627842436
725,530.9353409308917
726,451.35645277937147
727,268.4634954530958
728,194.2438786719293
729,127.81825171489263
730,111.61167409925503
731,116.96903445601926
732,123.21928820557754
733,116.96903445601926
734,115.18324767043119
735,118.457190110676
736,129.76717308606717
737,133.33874665724332
738,150.3037211203301
739,153.28003242964357
740,158.93502391733915
741,170.54263802366165
742,177.3523026465254
743,223.03878892099763
744,316.7175010661206
745,461.9330702733973
746,538.270260699072
747,553.6467386901461
748,496.99096530808686
749,354.6244242130944
750,262.2259727396004
751,172.18884128219966
752,94.48547606417122
753,32.8541919164355
754,24.40575273637043
755,23.810490474507738
756,25.596277260095814
757,30.06074422406602
758,32.441793271516794
759,33.33468666431083
760,35.7157357117616
761,40.477833806663156
762,47.620980949015475
763,55.95465261509318
764,61.907275233720114
765,65.18121767396494
766,70.26067593115536
767,106.93040314337303
768,179.52927873812732
769,245.3112763617022
770,261.8549431709862
771,324.7000875479627
772,366.85085163981597
773,365.00948443431315
774,314.2991203225653
775,215.315021566435
776,118.32290891835214
777,47.54927817190101
778,46.43045642529009
779,44.94230077063335
780,39.28730928293777
781,30.358375354997364
782,21.131810296125614
783,13.691032022841949
784,8.631302797009056
785,9.226565058871747
786,17.8578678558808
787,27.97732630754659
788,33.03705553337949
789,33.92994892617353
790,37.11245955794634
791,100.61205329085811
792,222.50484011981803
793,338.0648503996317
794,417.0968433608883
795,448.7318727133568
796,442.2001101900668
797,409.61660702488956
798,354.0688353669678
799,277.17223406798763
800,184.0062613851394
801,99.99154430989061
802,95.24196189803095
803,81.25329874425766
804,67.26463559048436
805,67.26463559048436
806,82.1461921370517
807,102.38510904038326
808,122.92165707464619
809,136.01742683562546
810,145.54162302542855
811,148.81556546567336
812,151.79187677498683
813,154.7681880843003
814,159.71675647030366
815,192.2680149210816
816,276.8599608874039
817,423.81825214339574
818,541.1479268515978
819,580.8781838332853
820,544.5527591630297
821,443.8779121039412
822,330.4246554461623
823,216.92303171678427
824,151.00123521313827
825,120.26270592762161
826,116.07614106322522
827,96.43248642175634
828,82.1461921370517
829,78.27698743494419
830,84.52724118450246
831,89.28933927940402
832,82.44382326798305
833,68.45516011420975
834,53.57360356764241
835,41.965989461319886
836,34.22758005710487
837,31.54889987872275
838,33.2988352757536
839,111.14751706160044
840,226.60718652405808
841,317.3490454225826
842,375.4679430932148
843,403.66228874569424
844,404.6860720096753
845,378.18608133431195
846,323.62263487765625
847,236.9759090350561
848,124.72208590988664
849,12.765893915648503
850,1.4881556546567336
851,1.7857867855880802
852,1.7857867855880802
853,1.4881556546567336
854,1.7857867855880802
855,2.083417916519427
856,3.869204702107507
857,7.738409404215014
858,13.095769760979255
859,16.964974463086765
860,17.262605594018112
861,14.881556546567337
862,14.901285577924867
863,100.19074563705536
864,217.4523242423008
865,317.5516380708841
866,382.9248437236982
867,407.2661070312697
868,398.8535192397619
869,366.3775702402563
870,309.24299777089016
871,232.19577756936542
872,120.89042825690474
873,48.90654395537068
874,48.81150547274086
875,55.95465261509318
876,65.18121767396494
877,74.70541386376803
878,83.33671666077709
879,87.50355249381593
880,88.09881475567862
881,86.0153968391592
882,81.84856100612035
883,80.65803648239496
884,73.51488934004264
885,63.693062019308194
886,56.38317361721158
887,131.66433606450582
888,238.28650340749505
889,334.57219295388563
890,390.14330031732277
891,416.3851179244698
892,414.91669130117066
893,386.27770228937305
894,329.98404946704403
895,244.1746365973232
896,135.19475591239853
897,32.33423910584509
898,38.98967815200642
899,59.52622618626935
900,85.71776570822784
901,114.88561653949984
902,133.93400891910602
903,139.29136927587027
904,139.88663153773294
905,127.98138630047909
906,122.32639481278349
907,114.29035427763714
908,110.12351844459829
909,105.95668261155943
910,104.00415456622704
911,164.83228146907237
912,264.3310307010668
913,379.9071633380802
914,451.77267345146913
915,461.8671005370511
916,447.5252258324317
917,411.6121998070948
918,349.941457596644
919,252.03672252440956
920,126.99727645223408
921,48.72007366426887
922,62.50253749558281
923,83.33671666077709
924,103.2780024331773
925,115.18324767043119
926,119.64771463440138
927,118.457190110676
928,108.3377316590102
929,93.75380624337421
930,84.82487231543381
931,79.16988082773823
932,72.91962707817994
933,64.58595541210224
934,59.228595055338
935,81.04540376122992
936,132.58417183697304
937,224.5918647104953
938,264.3418507235403
939,249.60009305704406
940,218.81489236049669
941,175.0020180059267
942,159.1970190127343
943,146.6301110712295
944,119.88446301069175
945,100.13494986411956
946,107.7424693971475
947,104.76615808783404
948,110.71878070646098
949,101.1945845166579
950,97.92064207641307
951,98.51590433827577
952,89.8846015412667
953,88.39644588660997
954,87.50355249381593
955,87.80118362474728
956,83.63434779170844
957,81.84856100612035
958,82.1461921370517
959,114.06994361156752
960,196.49785987537192
961,302.0854239319066
962,365.92210685846476
963,409.13971895117203
964,406.40906502703297
965,369.36109489788544
966,308.4165048204844
967,225.08317948084408
968,111.0794209586438
969,18.845799731304666
970,23.215228212645044
971,28.572588569409284
972,30.06074422406602
973,27.97732630754659
974,27.382064045683897
975,29.465481962203327
976,35.41810458083026
977,38.09678475921238
978,36.60862910455565
979,33.33468666431083
980,33.03705553337949
981,35.12047344989891
982,33.63231779524218
983,41.116160805398735
984,87.60771533835086
985,153.31801018481127
986,199.82208040080525
987,254.47695866593295
988,214.79867543000242
989,165.16406832799254
990,143.89054813820638
991,148.48590497336366
992,101.5138556925362
993,63.17310920871779
994,74.11015160190533
995,76.19356951842477
996,69.64568463793513
997,58.03807053161261
998,62.80016862651416
999,67.56226672141571
1000,74.40778273283668
1001,86.90829023195323
1002,99.11116660013846
1003,106.84957600435347
1004,106.84957600435347
1005,109.23062505180424
1006,104.46852695690269
1007,105.55149731495639
1008,108.40413210139846
1009,118.30848222172085
1010,146.6623557856289
1011,148.07520198901335
1012,151.31329304070093
1013,136.3564270428613
1014,139.73262131405158
1015,103.19208831245258
1016,55.42579079561874
