Heure,Production_Elec
0,25.893908391027164
1,9.226565058871747
2,6.547884880489628
3,9.821827320734442
4,7.4407782732836685
5,12.202876368185215
6,23.810490474507738
7,52.41002142359021
8,160.49700871572082
9,289.67995491541984
10,377.7359202872466
11,421.6132840706154
12,439.99471141124445
13,427.50311292101196
14,382.5194430740741
15,301.4523992678972
16,188.73059707789426
17,127.08849290768505
18,127.98138630047909
19,123.21928820557754
20,126.49323064582235
21,135.71979570469412
22,143.4582051089091
23,151.79187677498683
24,149.1131965966047
25,152.9824012987122
26,169.64974463086762
27,161.31607296478992
28,163.39949088130936
29,166.67343332155417
30,166.07817105969147
31,196.54601159394997
32,260.42215258322324
33,374.98871329986576
34,494.6652813275298
35,557.4512386104336
36,567.276672605326
37,521.5901863308536
38,475.4949080856206
39,402.56615664553556
40,293.7243791801136
41,232.74754438831314
42,216.37783218708907
43,198.22233320027692
44,176.4952606422886
45,156.25634373895704
46,136.01742683562546
47,116.07614106322522
48,108.63536278994155
49,104.46852695690269
50,101.78984677852058
51,97.32537981455037
52,93.75380624337421
53,96.13485529082499
54,104.76615808783404
55,125.8890593750756
56,189.51063397029037
57,281.0898058416942
58,368.6939145058872
59,426.3412264375281
60,414.7622503714472
61,261.67907754933685
62,177.75409662199166
63,147.92097641231092
64,142.17985545086958
65,143.4582051089091
66,135.42216457376276
67,130.0648042169985
68,127.98138630047909
69,131.8505910025866
70,155.95871260802568
71,195.24602189096345
72,217.56835671081444
73,179.47157195160207
74,135.42216457376276
75,135.12453344283142
76,126.195599514891
77,118.457190110676
78,117.56429671788196
79,144.2149062957899
80,240.73373754431304
81,375.655893691864
82,478.8371619818431
83,496.9979633033814
84,413.3759158416939
85,388.71729237183337
86,394.0746527285976
87,404.8288315048411
88,320.80520542070826
89,281.559049861054
90,279.47563194453454
91,280.07089420639727
92,282.451943253848
93,283.94009890850475
94,281.85668099198534
95,275.9040583733584
96,262.2130263505165
97,239.89069153066546
98,217.56835671081444
99,190.4839237960619
100,177.38815403508264
101,170.54263802366165
102,165.4829087978288
103,171.44274476477136
104,238.57309916293187
105,368.84071138125296
106,468.4451037653297
107,516.993133835128
108,522.2034819635055
109,492.98895972120283
110,436.0677999226117
111,328.2534123953287
112,190.03397810201758
113,133.63637778817468
114,115.18324767043119
115,104.76615808783404
116,110.12351844459829
117,116.96903445601926
118,115.77850993229387
119,110.12351844459829
120,107.44483826621617
121,109.23062505180424
122,111.90930523018636
123,112.20693636111771
124,110.12351844459829
125,109.23062505180424
126,111.01641183739233
127,122.11128648144009
128,141.43949197420955
129,179.88779262369962
130,271.23021611881313
131,288.0768163937547
132,242.99810806418702
133,190.24739077279258
134,172.3625805372386
135,174.903157496118
136,147.2915584224594
137,122.92165707464619
138,125.60033725302831
139,130.0648042169985
140,121.7311325509208
141,115.18324767043119
142,127.98138630047909
143,144.6487296326345
144,151.49424564405547
145,148.22030320381066
146,157.44686826268241
147,144.6487296326345
148,137.5055824902822
149,144.6487296326345
150,145.54162302542855
151,163.76352245462894
152,240.72652419599737
153,332.361276487316
154,445.68894560863407
155,484.911765462773
156,478.82825297295904
157,433.27626324383164
158,363.7398284321366
159,261.40117544976306
160,145.9595393580945
161,76.19356951842477
162,82.7414543989144
163,84.82487231543381
164,84.82487231543381
165,102.38510904038326
166,121.7311325509208
167,122.92165707464619
168,120.54060802719543
169,128.57664856234177
170,150.00608998939876
171,166.67343332155417
172,164.8876465359661
173,151.19661451312413
174,115.48087880136254
175,115.33747324713357
176,125.08229545602734
177,134.8754847365202
178,241.0188529922025
179,394.067870086324
180,436.4857162552777
181,399.85544710577506
182,313.08143806614567
183,216.67567867104145
184,130.5794546928627
185,99.40879773106981
186,97.92064207641307
187,93.75380624337421
188,86.6106591010219
189,90.4798638031294
190,92.26565058871748
191,93.75380624337421
192,106.84957600435347
193,120.24297689626408
194,136.01742683562546
195,143.16057397797778
196,141.07715606145834
197,135.12453344283142
198,129.17191082420447
199,124.48872885473305
200,153.05071275468993
201,264.28075261587827
202,345.2169065508681
203,354.43095592669795
204,332.7325214089512
205,273.94305202518404
206,209.74064186473794
207,125.24012770688759
208,58.4182244621319
209,33.92994892617353
210,33.63231779524218
211,50.89492338926029
212,75.59830725656207
213,90.18223267219805
214,94.34906850523691
215,102.38510904038326
216,122.02876368185214
217,135.71979570469412
218,170.54263802366165
219,147.62504094194796
220,120.54060802719543
221,120.24297689626408
222,127.38612403861639
223,136.74718564283302
224,172.50429043089912
225,294.5960632340027
226,437.79270395355877
227,498.7534163881595
228,510.8648609478727
229,464.69427325136735
230,373.97575005835813
231,253.6213969692435
232,121.73834589923646
233,86.90829023195323
234,86.0153968391592
235,81.84856100612035
236,77.97935630401284
237,83.33671666077709
238,88.99170814847267
239,91.07512606499209
240,88.69407701754132
241,82.1461921370517
242,58.633332793475304
243,39.88257154480046
244,31.54889987872275
245,26.786801783821204
246,22.917597081713698
247,24.703383867301778
248,37.858340722353624
249,60.46939766425193
250,129.98971011874727
251,232.92723203714138
252,319.74600147421205
253,368.27069583849504
254,354.7391917270818
255,269.6989957272835
256,140.7617069127589
257,90.77749493406074
258,93.75380624337421
259,99.11116660013846
260,102.08747790945193
261,100.0040599929325
262,96.13485529082499
263,93.75380624337421
264,91.37275719592344
265,89.8846015412667
266,86.6106591010219
267,82.7414543989144
268,89.28933927940402
269,105.36142034969673
270,112.80219862298041
271,106.46051306495012
272,111.02362518570797
273,144.42471229240707
274,237.44897508159477
275,267.6280934938059
276,207.3863198439393
