FR,offshore,429715,0.5733
FR,offshore,429716,0.5365
FR,offshore,429717,0.4815
FR,offshore,429718,0.3969
FR,offshore,429719,0.3711
FR,offshore,429720,0.343
FR,offshore,429721,0.3347
FR,offshore,429722,0.357
FR,offshore,429723,0.3697
FR,offshore,429724,0.3556
FR,offshore,429725,0.3265
FR,offshore,429726,0.2919
FR,offshore,429727,0.3143
FR,offshore,429728,0.364
FR,offshore,429729,0.3528
FR,offshore,429730,0.3252
FR,offshore,429731,0.555
FR,offshore,429732,0.6035
FR,offshore,429733,0.6468
FR,offshore,429734,0.6481
FR,offshore,429735,0.6169
FR,offshore,429736,0.6532
FR,offshore,429737,0.6754
FR,offshore,429738,0.6802
FR,offshore,429739,0.6456
FR,offshore,429740,0.6156
FR,offshore,429741,0.6049
FR,offshore,429742,0.5761
FR,offshore,429743,0.5308
FR,offshore,429744,0.5135
FR,offshore,429745,0.4786
FR,offshore,429746,0.4449
FR,offshore,429747,0.4186
FR,offshore,429748,0.3897
FR,offshore,429749,0.3458
FR,offshore,429750,0.3117
FR,offshore,429751,0.3157
FR,offshore,429752,0.2688
FR,offshore,429753,0.2233
FR,offshore,429754,0.2131
FR,offshore,429755,0.2726
FR,offshore,429756,0.2577
FR,offshore,429757,0.2491
FR,offshore,429758,0.2408
FR,offshore,429759,0.2419
FR,offshore,429760,0.309
FR,offshore,429761,0.374
FR,offshore,429762,0.4464
FR,offshore,429763,0.4902
FR,offshore,429764,0.5004
FR,offshore,429765,0.4873
FR,offshore,429766,0.4449
FR,offshore,429767,0.3797
FR,offshore,429768,0.317
FR,offshore,429769,0.2676
FR,offshore,429770,0.2279
FR,offshore,429771,0.2187
FR,offshore,429772,0.2221
FR,offshore,429773,0.2142
FR,offshore,429774,0.1978
FR,offshore,429775,0.1894
FR,offshore,429776,0.212
FR,offshore,429777,0.2
FR,offshore,429778,0.1539
FR,offshore,429779,0.1652
FR,offshore,429780,0.1925
FR,offshore,429781,0.2043
FR,offshore,429782,0.1801
FR,offshore,429783,0.1801
FR,offshore,429784,0.221
FR,offshore,429785,0.2503
FR,offshore,429786,0.2431
FR,offshore,429787,0.236
FR,offshore,429788,0.2431
FR,offshore,429789,0.2663
FR,offshore,429790,0.2919
FR,offshore,429791,0.2971
FR,offshore,429792,0.2313
FR,offshore,429793,0.174
FR,offshore,429794,0.1474
FR,offshore,429795,0.1394
FR,offshore,429796,0.13
FR,offshore,429797,0.1107
FR,offshore,429798,0.1325
FR,offshore,429799,0.2043
FR,offshore,429800,0.2651
FR,offshore,429801,0.229
FR,offshore,429802,0.2165
FR,offshore,429803,0.2997
FR,offshore,429804,0.4405
FR,offshore,429805,0.5607
FR,offshore,429806,0.48
FR,offshore,429807,0.5149
FR,offshore,429808,0.6196
FR,offshore,429809,0.7417
FR,offshore,429810,0.6979
FR,offshore,429811,0.6718
FR,offshore,429812,0.673
FR,offshore,429813,0.6209
FR,offshore,429814,0.6076
FR,offshore,429815,0.5913
FR,offshore,429816,0.5872
FR,offshore,429817,0.5816
FR,offshore,429818,0.5677
FR,offshore,429819,0.5522
FR,offshore,429820,0.5635
FR,offshore,429821,0.5607
FR,offshore,429822,0.5593
FR,offshore,429823,0.5479
FR,offshore,429824,0.5494
FR,offshore,429825,0.5954
FR,offshore,429826,0.6456
FR,offshore,429827,0.7354
FR,offshore,429828,0.8156
FR,offshore,429829,0.8172
FR,offshore,429830,0.7975
FR,offshore,429831,0.8257
FR,offshore,429832,0.8367
FR,offshore,429833,0.8331
FR,offshore,429834,0.8076
FR,offshore,429835,0.7843
FR,offshore,429836,0.7236
FR,offshore,429837,0.6544
FR,offshore,429838,0.6062
FR,offshore,429839,0.6506
FR,offshore,429840,0.7385
FR,offshore,429841,0.7312
FR,offshore,429842,0.7437
FR,offshore,429843,0.7093
FR,offshore,429844,0.6594
FR,offshore,429845,0.6417
FR,offshore,429846,0.6076
FR,offshore,429847,0.5691
FR,offshore,429848,0.48
FR,offshore,429849,0.3279
FR,offshore,429850,0.3279
FR,offshore,429851,0.3375
FR,offshore,429852,0.2601
FR,offshore,429853,0.2076
FR,offshore,429854,0.1852
FR,offshore,429855,0.1731
FR,offshore,429856,0.1914
FR,offshore,429857,0.1978
FR,offshore,429858,0.176
FR,offshore,429859,0.1342
FR,offshore,429860,0.091
FR,offshore,429861,0.0644
FR,offshore,429862,0.0473
FR,offshore,429863,0.0268
FR,offshore,429864,0.0103
FR,offshore,429865,0.0016
FR,offshore,429866,1e-04
FR,offshore,429867,0
FR,offshore,429868,1e-04
FR,offshore,429869,0
FR,offshore,429870,0
FR,offshore,429871,2e-04
FR,offshore,429872,0.0027
FR,offshore,429873,0.008
FR,offshore,429874,0.0115
FR,offshore,429875,0.0171
FR,offshore,429876,0.0222
FR,offshore,429877,0.0236
FR,offshore,429878,0.0219
FR,offshore,429879,0.0265
FR,offshore,429880,0.0295
FR,offshore,429881,0.0361
FR,offshore,429882,0.0518
FR,offshore,429883,0.074
FR,offshore,429884,0.1031
FR,offshore,429885,0.1483
FR,offshore,429886,0.2054
FR,offshore,429887,0.2503
FR,offshore,429888,0.2713
FR,offshore,429889,0.279
FR,offshore,429890,0.301
FR,offshore,429891,0.3211
FR,offshore,429892,0.35
FR,offshore,429893,0.4027
FR,offshore,429894,0.4522
FR,offshore,429895,0.4508
FR,offshore,429896,0.423
FR,offshore,429897,0.3955
FR,offshore,429898,0.4114
FR,offshore,429899,0.4742
FR,offshore,429900,0.5308
FR,offshore,429901,0.5677
FR,offshore,429902,0.6301
FR,offshore,429903,0.6681
FR,offshore,429904,0.7182
FR,offshore,429905,0.7478
FR,offshore,429906,0.7637
FR,offshore,429907,0.728
FR,offshore,429908,0.6956
FR,offshore,429909,0.6353
FR,offshore,429910,0.4844
FR,offshore,429911,0.5981
FR,offshore,429912,0.7618
FR,offshore,429913,0.855
FR,offshore,429914,0.8211
FR,offshore,429915,0.8249
FR,offshore,429916,0.7941
FR,offshore,429917,0.7627
FR,offshore,429918,0.7236
FR,offshore,429919,0.7059
FR,offshore,429920,0.6681
FR,offshore,429921,0.461
FR,offshore,429922,0.4274
FR,offshore,429923,0.6102
FR,offshore,429924,0.685
FR,offshore,429925,0.6301
FR,offshore,429926,0.4859
FR,offshore,429927,0.3797
FR,offshore,429928,0.4975
FR,offshore,429929,0.5981
FR,offshore,429930,0.6049
FR,offshore,429931,0.5294
FR,offshore,429932,0.4172
FR,offshore,429933,0.3306
FR,offshore,429934,0.2601
FR,offshore,429935,0.2267
FR,offshore,429936,0.2528
FR,offshore,429937,0.2764
FR,offshore,429938,0.2676
FR,offshore,429939,0.3063
FR,offshore,429940,0.3361
FR,offshore,429941,0.3556
FR,offshore,429942,0.3626
FR,offshore,429943,0.3612
FR,offshore,429944,0.3265
FR,offshore,429945,0.2479
FR,offshore,429946,0.2153
FR,offshore,429947,0.2815
FR,offshore,429948,0.332
FR,offshore,429949,0.3868
FR,offshore,429950,0.4201
FR,offshore,429951,0.4859
FR,offshore,429952,0.6262
FR,offshore,429953,0.6607
FR,offshore,429954,0.679
FR,offshore,429955,0.6693
FR,offshore,429956,0.7236
FR,offshore,429957,0.7627
FR,offshore,429958,0.7478
FR,offshore,429959,0.6909
FR,offshore,429960,0.5789
FR,offshore,429961,0.4478
FR,offshore,429962,0.3782
FR,offshore,429963,0.3655
FR,offshore,429964,0.3444
FR,offshore,429965,0.3224
