0,22.85
1,21.6
2,20.255
3,19.459
4,19.503
5,20.38
6,20.833
7,21.199
8,22.341
9,23.695
10,24.547
11,25.172
12,23.97
13,23.088
14,23.557
15,24.975
16,28.519
17,29.748
18,30.466
19,29.874
20,28.568
21,26.561
22,23.904
23,21.649
24,20.077
25,19.3
26,18.942
27,19.286
28,20.993
29,24.833
30,29.443
31,33.463
32,35.891
33,36.056
34,36.123
35,35.866
36,35.037
37,35.263
38,35.69
39,37.199
40,40.181
41,40.26
42,39.631
43,37.192
44,34.291
45,30.917
46,27.492
47,24.612
48,22.665
49,21.644
50,21.33
51,21.693
52,23.063
53,27.031
54,31.67
55,35.959
56,38.376
57,38.688
58,38.21
59,37.043
60,36.485
61,37.007
62,37.412
63,38.95
64,41.93
65,42.047
66,41.387
67,38.781
68,35.8
69,32.179
70,28.761
71,25.904
72,24.13
73,23.199
74,22.672
75,22.867
76,24.407
77,27.827
78,32.705
79,37.396
80,40.207
81,40.799
82,41.002
83,39.262
84,37.802
85,38.003
86,38.286
87,39.711
88,42.706
89,42.762
90,41.984
91,39.367
92,36.253
93,32.825
94,29.631
95,26.055
96,24.137
97,22.817
98,22.633
99,22.6
100,23.443
101,25.622
102,28.534
103,31.31
104,34
105,34.867
106,34.141
107,32.818
108,31.33
109,30.895
110,31.401
111,32.71
112,36.44
113,37.578
114,37.518
115,35.444
116,32.914
117,30.083
118,27.243
119,24.611
120,22.785
121,21.723
122,21.13
123,21.029
124,21.466
125,22.755
126,24.24
127,26.258
128,28.87
129,30.004
130,30.387
131,30.186
132,27.886
133,27.113
134,27.714
135,29.218
136,33.066
137,34.458
138,35.04
139,34.083
140,32.351
141,29.745
142,26.827
143,23.809
144,22.01
145,21.566
146,21.452
147,21.925
148,24.209
149,30.695
150,38.056
151,43.074
152,45.45
153,45.184
154,44.63
155,42.609
156,42.248
157,43.501
158,44.336
159,45.556
160,47.768
161,46.747
162,45.556
163,42.959
164,39.924
165,35.671
166,31.562
167,28.724
168,26.844
169,25.917
170,25.745
171,25.977
172,27.959
173,33.953
174,40.854
175,45.772
176,47.689
177,47.715
178,47.653
179,44.995
180,44.318
181,45.683
182,46.289
183,47.318
184,48.886
185,47.657
186,46.126
187,43.377
188,40.08
189,35.75
190,31.978
191,28.806
192,26.85
193,25.88
194,25.647
195,26.314
196,28.167
197,33.997
198,41.201
199,46.171
200,48.139
201,47.501
202,46.595
203,44.014
204,44.06
205,45.022
206,45.684
207,46.749
208,48.668
209,47.697
210,46.101
211,43.305
212,39.918
213,35.526
214,31.943
215,28.714
216,27.04
217,26.106
218,25.966
219,26.272
220,27.986
221,33.751
222,41.247
223,46.029
224,47.467
225,47.213
226,47.044
227,44.154
228,44.093
229,44.87
230,45.075
231,46.36
232,48.405
233,47.696
234,46.577
235,43.808
236,40.364
237,36.013
238,32.178
239,29.028
240,27.193
241,26.281
242,26.037
243,26.406
244,28.43
245,34.057
246,41.094
247,45.943
248,48.016
249,47.665
250,46.766
251,43.908
252,42.998
253,44.154
254,44.301
255,45.163
256,47.584
