Heure,Production_Elec
0,96.43248642175634
1,80.36040535146361
2,75.59830725656207
3,69.05042237607245
4,60.12148844813204
5,58.03807053161261
6,59.470645766354586
7,74.17655204429357
8,116.10860113064567
9,210.56904582873312
10,292.6921176132905
11,324.90628687042204
12,283.7237256226351
13,256.3864219743925
14,184.92609715760662
15,86.4852869175821
16,49.3978587257195
17,41.98571849267742
18,60.71675070999473
19,81.55092987518901
20,94.64669963616826
21,101.49221564758923
22,105.36142034969673
23,115.48087880136254
24,112.80219862298041
25,98.51590433827577
26,91.07512606499209
27,94.64669963616826
28,99.70642886200116
29,90.4798638031294
30,72.62199594724859
31,73.0182722349676
32,94.64500397559986
33,114.65269019038834
34,145.95423702336828
35,202.13672900586778
36,229.17640152317904
37,175.28352677965833
38,111.33928968742848
39,91.34411915568187
40,114.21865150052267
41,137.15237093943608
42,134.23164005003738
43,124.70744386023426
44,122.02876368185214
45,135.42216457376276
46,136.9103202284195
47,137.20795135935083
48,139.88663153773294
49,137.80321362121353
50,127.98138630047909
51,122.32639481278349
52,119.64771463440138
53,113.9927231467058
54,117.34558171238072
55,194.60982125883834
56,326.7171050220939
57,428.8998367671967
58,486.31231133613664
59,510.395401575492
60,507.4190902661785
61,478.94684251412525
62,423.76840476424934
63,345.21329987671027
64,238.83678991889545
65,131.65881837675857
66,122.92165707464619
67,119.64771463440138
68,109.52825618273559
69,105.06378921876538
70,102.6827401713146
71,101.1945845166579
72,96.73011755268769
73,86.31302797009054
74,76.19356951842477
75,75.30067612563072
76,79.16988082773823
77,85.4201345772965
78,96.13846196498281
79,166.78480951440474
80,356.3887863067565
81,516.1254871614387
82,598.5945571485266
83,644.1823982662112
84,654.0239546183032
85,632.9369047196188
86,581.2744601210043
87,490.1991187029912
88,368.75458190750714
89,260.8504582323206
90,234.53333117390122
91,231.8546509955191
92,211.31810296125616
93,170.54263802366165
94,166.67343332155417
95,166.37580219062284
96,164.59001540503476
97,163.99475314317206
98,166.67343332155417
99,167.26869558341687
100,163.39949088130936
101,155.95871260802568
102,152.93042755295525
103,190.59169331475465
104,308.1364763543001
105,355.6482074770755
106,357.8338772245404
107,336.5514480258702
108,335.570729498762
109,290.22493909209396
110,226.56581744775355
111,162.0101957364613
112,105.53007262303046
113,83.34032333493491
114,90.77749493406074
115,90.77749493406074
116,86.90829023195323
117,82.1461921370517
118,75.59830725656207
119,65.77647993582762
120,52.38307904391702
121,41.66835833038854
122,38.692047021075076
123,39.28730928293777
124,42.85888285411392
125,47.02571868715278
126,46.41433406809039
127,79.8818216171777
128,159.19893002632375
129,240.31794757825753
130,319.52028847341626
131,374.4566755122756
132,381.1193279067526
133,349.6510398140283
134,292.0915530167016
135,206.69093211774157
136,109.52847153575664
137,49.46956150283397
138,55.35939035323049
139,80.65803648239496
140,101.78984677852058
141,113.69509201577445
